Table,Number of Records
acquisition_sample,6111
agricultural_acquisition,810
branded_food,498182
fndds_derivation,49
fndds_ingredient_nutrient_value,151580
food,533612
food_attribute,399031
food_attribute_type,5
food_calorie_conversion_factor,4825
food_category,28
food_component,3066
food_nutrient,7248644
food_nutrient_conversion_factor,10999
food_nutrient_derivation,64
food_nutrient_source,10
food_portion,56893
food_protein_conversion_factor,6188
food_update_log_entry,156645
foundation_food,128
input_food,24896
lab_method,261
lab_method_code,292
lab_method_nutrient,1005
market_acquisition,5327
measure_unit,122
nutrient,237
nutrient_incoming_name,730
retention_factor,270
sample_food,1829
sr_legacy_food,7793
sub_sample_food,12405
sub_sample_result,71781
survey_fndds_food,7083
wweia_food_category,167
